Iteration Report: 

| iter  | success | list size |     min alpha    |     max alpha    |
|   262 |     1   |      93   | +1.00000000e+00 | +1.28000000e+02 |
|   263 |     0   |      93   | +1.00000000e+00 | +1.28000000e+02 |
|   264 |     0   |      93   | +1.00000000e+00 | +1.28000000e+02 |
|   265 |     1   |      94   | +1.00000000e+00 | +1.28000000e+02 |
|   266 |     1   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   267 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   268 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   269 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   270 |     1   |      90   | +1.00000000e+00 | +1.28000000e+02 |
|   271 |     1   |      91   | +1.00000000e+00 | +1.28000000e+02 |
|   272 |     0   |      91   | +1.00000000e+00 | +1.28000000e+02 |
|   273 |     0   |      91   | +1.00000000e+00 | +1.28000000e+02 |
|   274 |     0   |      91   | +1.00000000e+00 | +1.28000000e+02 |
|   275 |     0   |      91   | +1.00000000e+00 | +1.28000000e+02 |
|   276 |     1   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   277 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   278 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   279 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   280 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   281 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   282 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   283 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   284 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   285 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   286 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   287 |     1   |      91   | +1.00000000e+00 | +1.28000000e+02 |
|   288 |     0   |      91   | +1.00000000e+00 | +1.28000000e+02 |
|   289 |     0   |      91   | +1.00000000e+00 | +1.28000000e+02 |
|   290 |     0   |      91   | +1.00000000e+00 | +1.28000000e+02 |
|   291 |     1   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   292 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   293 |     1   |      93   | +1.00000000e+00 | +1.28000000e+02 |
|   294 |     1   |      94   | +1.00000000e+00 | +1.28000000e+02 |
|   295 |     0   |      94   | +1.00000000e+00 | +1.28000000e+02 |
|   296 |     0   |      94   | +1.00000000e+00 | +1.28000000e+02 |
|   297 |     0   |      94   | +1.00000000e+00 | +1.28000000e+02 |
|   298 |     1   |      96   | +1.00000000e+00 | +1.28000000e+02 |
|   299 |     0   |      96   | +1.00000000e+00 | +1.28000000e+02 |
|   300 |     0   |      96   | +1.00000000e+00 | +1.28000000e+02 |
|   301 |     1   |      98   | +1.00000000e+00 | +1.28000000e+02 |
|   302 |     0   |      98   | +1.00000000e+00 | +1.28000000e+02 |
